# WRITE_FORCE NAME data/force INTERVAL 100 FAZONE WALL; SCALING 1
#           1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21
#        step         time         area       area-x       area-y       area-z     f-conv-x     f-conv-y     f-conv-z        f-p-x        f-p-y        f-p-z     f-visc-x     f-visc-y     f-visc-z     f-body-x     f-body-y     f-body-z    f-total-x    f-total-y    f-total-z
         6500      9.53754      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0835158     0.238676    0.0446604   0.00391359 -0.000463242  0.000698106            0            0            0    0.0874294     0.238213    0.0453585
         6600      9.69337      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0838501     0.240713     0.043455    0.0038887 -0.000463477  0.000687674            0            0            0    0.0877388      0.24025    0.0441427
         6700       9.8477      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0     0.083297     0.238284    0.0418022    0.0038532 -0.000468301  0.000688534            0            0            0    0.0871502     0.237816    0.0424907
         6800      10.0008      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0789352     0.225232    0.0405663    0.0037984 -0.000452899  0.000679697            0            0            0    0.0827335     0.224779     0.041246
         6900      10.1568      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0787304     0.224404    0.0387751   0.00374584 -0.000441008  0.000664085            0            0            0    0.0824762     0.223962    0.0394392
         7000      10.3155      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0753738     0.215892    0.0373709   0.00372808 -0.000442799  0.000636956            0            0            0    0.0791019     0.215449    0.0380078
         7100      10.4739      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0      0.07295     0.210308    0.0366819   0.00371326 -0.000440646  0.000604474            0            0            0    0.0766633     0.209867    0.0372864
         7200      10.6333      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0720081     0.209788    0.0361451   0.00370215 -0.000436071  0.000591258            0            0            0    0.0757102     0.209352    0.0367364
         7300      10.7915      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0     0.074625     0.218554    0.0362063   0.00365908 -0.000412798  0.000590216            0            0            0     0.078284     0.218141    0.0367965
         7400      10.9492      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0757621      0.22193    0.0358846    0.0036197 -0.000392631  0.000595773            0            0            0    0.0793818     0.221538    0.0364804
         7500      11.1007      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0714447     0.209496     0.036163   0.00360555 -0.000382991  0.000599682            0            0            0    0.0750502     0.209113    0.0367627
         7600      11.2548      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0731461     0.216368    0.0360579   0.00360271 -0.000372117   0.00062741            0            0            0    0.0767488     0.215996    0.0366853
         7700      11.4107      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0704643     0.207838     0.036368   0.00365512 -0.000397856   0.00064438            0            0            0    0.0741194      0.20744    0.0370124
         7800      11.5668      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0688584     0.203487    0.0376683   0.00368402 -0.000405291  0.000642652            0            0            0    0.0725425     0.203081     0.038311
         7900      11.7239      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0684891     0.202672    0.0383511   0.00370419 -0.000404443  0.000624931            0            0            0    0.0721933     0.202267     0.038976
         8000      11.8781      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0693654     0.204708    0.0388341   0.00372823 -0.000413376  0.000627644            0            0            0    0.0730936     0.204295    0.0394618
         8100      12.0304      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0715609     0.210049    0.0392568   0.00375082 -0.000421758   0.00063718            0            0            0    0.0753117     0.209628     0.039894
         8200      12.1874      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0712827     0.208358    0.0401738   0.00378648 -0.000437519  0.000672088            0            0            0    0.0750691      0.20792    0.0408458
         8300      12.3441      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0     0.075419     0.221358    0.0405322   0.00376631 -0.000429207  0.000713878            0            0            0    0.0791853     0.220928    0.0412461
         8400      12.5009      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0743049     0.217995    0.0403859   0.00375262  -0.00042423   0.00074394            0            0            0    0.0780575      0.21757    0.0411299
         8500      12.6554      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0700478     0.207265    0.0403273   0.00373402 -0.000413624  0.000758421            0            0            0    0.0737819     0.206851    0.0410858
         8600      12.8122      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0723855     0.215662    0.0404824   0.00370975 -0.000402208  0.000763171            0            0            0    0.0760952     0.215259    0.0412455
         8700      12.9699      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0729388     0.216753    0.0403457   0.00368392 -0.000395454  0.000788078            0            0            0    0.0766227     0.216358    0.0411338
         8800       13.127      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0742395     0.219475    0.0401357   0.00366231 -0.000390279  0.000795903            0            0            0    0.0779018     0.219085    0.0409316
         8900      13.2851      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0756049     0.222998    0.0395999   0.00360363 -0.000367117  0.000792164            0            0            0    0.0792085     0.222631    0.0403921
         9000      13.4435      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0758317     0.221602    0.0387414   0.00357771 -0.000357727  0.000778521            0            0            0    0.0794094     0.221245    0.0395199
         9100         13.6      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0734107     0.214236    0.0381727   0.00361074 -0.000383879  0.000764712            0            0            0    0.0770214     0.213852    0.0389374
