# WRITE_FORCE NAME data/force INTERVAL 100 FAZONE WALL; SCALING 1
#           1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21
#        step         time         area       area-x       area-y       area-z     f-conv-x     f-conv-y     f-conv-z        f-p-x        f-p-y        f-p-z     f-visc-x     f-visc-y     f-visc-z     f-body-x     f-body-y     f-body-z    f-total-x    f-total-y    f-total-z
         9600       12.716      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0612011     0.265002    0.0351657   0.00471232 -0.000829152  0.000584919            0            0            0    0.0659135     0.264173    0.0357507
         9700      12.8507      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0622242     0.268799    0.0349366   0.00471022 -0.000817336  0.000584365            0            0            0    0.0669344     0.267981    0.0355209
         9800      12.9846      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0630139     0.270896    0.0348438   0.00470999  -0.00082306  0.000587926            0            0            0    0.0677239     0.270073    0.0354317
         9900      13.1173      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0     0.060394     0.263296    0.0349278   0.00471772 -0.000824157  0.000590232            0            0            0    0.0651118     0.262472    0.0355181
        10000       13.249      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0     0.057729     0.256337    0.0348736   0.00472902 -0.000830495  0.000589303            0            0            0    0.0624581     0.255506    0.0354629
        10100        13.38      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0583015      0.25813    0.0349692   0.00473066 -0.000825849  0.000592316            0            0            0    0.0630321     0.257304    0.0355615
        10200      13.5111      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0592019     0.260526    0.0351256   0.00471957 -0.000821681  0.000597447            0            0            0    0.0639214     0.259705     0.035723
        10300      13.6418      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0637066     0.274401    0.0348588   0.00470755 -0.000813322  0.000599964            0            0            0    0.0684142     0.273588    0.0354588
        10400      13.7743      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0619094     0.268667    0.0352098   0.00469926 -0.000811279  0.000602804            0            0            0    0.0666086     0.267856    0.0358126
        10500      13.9073      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0627484     0.272091    0.0350982   0.00470737 -0.000813493  0.000608584            0            0            0    0.0674558     0.271278    0.0357067
        10600      14.0403      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0598588     0.262876    0.0351637   0.00471516 -0.000820701  0.000605394            0            0            0    0.0645739     0.262055    0.0357691
        10700      14.1713      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0605254     0.265295     0.035273   0.00471795 -0.000813983  0.000602131            0            0            0    0.0652433     0.264481    0.0358751
